state_x,state_y,carrying,wall_up,wall_down,wall_left,wall_right,action,q_value
17,6,0,1,0,0,0,3,272.71867
17,5,0,0,0,0,0,1,287.6726
16,5,0,0,0,1,1,1,303.582162
15,5,0,0,0,1,0,1,317.334998
14,5,0,0,0,0,1,1,332.980378
13,5,0,0,0,1,1,1,347.646817
12,5,0,0,0,0,0,1,360.598149
11,5,0,0,0,0,1,1,383.132209
10,5,1,0,0,0,0,1,362.975508
9,5,1,0,0,0,0,1,359.211678
8,5,1,0,0,0,0,1,351.370398
9,6,0,0,0,0,0,0,371.307168
10,6,0,0,1,0,0,3,379.712392
10,6,0,0,1,0,0,1,352.474179
10,8,1,0,0,0,0,2,415.003805
10,9,1,0,0,0,0,2,437.898509
10,10,1,0,0,0,0,0,456.478319
11,10,1,0,0,0,1,3,432.787006
11,9,1,0,0,0,0,3,401.062534
12,9,1,0,0,0,0,1,434.552726
11,9,1,0,0,0,0,2,457.32058
14,13,1,0,0,0,0,2,407.624758
5,15,1,0,0,1,0,2,324.104111
5,16,1,1,1,0,0,2,339.526661
5,17,1,0,0,0,1,1,323.626804
4,17,1,0,0,1,0,1,306.642832
1,18,1,0,0,0,0,2,262.90824
1,19,1,0,0,0,1,1,258.97544
0,19,1,1,0,0,1,0,255.841523
1,19,1,0,0,0,1,3,268.121029
1,17,1,0,0,1,0,0,296.984302
4,17,1,0,0,1,0,2,285.063991
4,18,1,1,1,0,0,3,323.601081
2,17,1,0,0,0,0,2,281.296611
2,17,1,0,0,0,0,3,291.836734
3,11,0,0,0,0,1,3,303.824357
2,10,0,0,0,0,0,2,310.112021
2,6,1,1,1,0,0,3,282.308508
5,5,1,0,0,1,0,0,332.224
6,5,1,0,0,1,1,0,350.761775
7,5,1,0,0,0,0,0,351.899726
8,5,1,0,0,0,0,3,368.446112
10,3,0,0,1,0,0,1,372.971605
10,3,0,0,1,0,0,3,395.416855
10,2,0,0,0,0,0,0,384.903524
